   Medha Speed Time Distance Recording System Type MRT 922
                    Short Term Digital Report       Recorder Sl.No  4296
___________________________________________________________________________________________________________________________________________________________
Filename           :CMSM41              Locono  : 041588       FileSave Date : 06-05-2024
Userfilename       :                                   FileSave Time : 08:45:37 AM
Start Date , Time  :05/05/24  21:45:30  End Date , Time : 06/05/24   08:21:24
Shedname           :AQ ELS            Start Dist   : 275.116  End Dist : 489.565
PC Software        :Msw 922 Ver 1.0
___________________________________________________________________________________________________________________________________________________________
 Date      Time      Inst   Dist.  D1    D2    D3    D4    D5    D6    D7    D8     Event
                     Kmph   Mtrs      
___________________________________________________________________________________________________________________________________________________________
Driver ID :BTTR1973          Train No: TEMP             Locono : 41588  Spd Limit :100 Kmph   Wheel Dia :1083 mm 
05/05/24 | 19:48:34 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off | STOP                      
05/05/24 | 21:55:37 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:38 | 013 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:39 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:40 | 013 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:41 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:42 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:43 | 013 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:44 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:45 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:46 | 013 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:47 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:48 | 013 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:49 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:50 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:51 | 013 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:52 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:53 | 013 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:54 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:55 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:56 | 013 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:57 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:58 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:59 | 013 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:56:00 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:56:01 | 013 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:56:02 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:56:03 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:56:04 | 013 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:56:05 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:56:06 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:56:07 | 013 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
___________________________________________________________________________________________________________________________________________________________
 Date      Time      Inst   Dist.  D1    D2    D3    D4    D5    D6    D7    D8     Event
                     Kmph   Mtrs      
___________________________________________________________________________________________________________________________________________________________
05/05/24 | 21:56:08 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:56:09 | 013 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:56:10 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:56:11 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:56:12 | 013 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
